img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/2144143ccc.jpg,Frankenstein's Monster,2600,Action,Data Age,Data Age,,,,,0.32,0.3,,0.02,0.0,1983-01-01,
/games/boxart/full_3848140AmericaFrontccc.jpg,Overlord II,PS3,Action,Codemasters,Triumph Studios,,,,,0.32,0.11,,0.15,0.05,2009-06-23,
/games/boxart/8413583ccc.jpg,Power Rangers: Time Force,PS,Action,THQ,Climax Group,,,,,0.32,0.18,,0.12,0.02,2001-11-02,
/games/boxart/5114642ccc.jpg,Crash of the Titans,X360,Action,Sierra Entertainment,Radical Entertainment,,6.6,,,0.32,0.27,,0.02,0.02,2007-10-04,
/games/boxart/3489105ccc.jpg,Dynasty Warriors 4 Empires,PS2,Action,KOEI,Omega Force,,,,,0.32,,0.32,,,2004-08-31,2017-12-31
/games/boxart/2951402ccc.jpg,Shrek the Third,PSP,Action,Activision,Amaze Entertainment,,,,,0.31,0.08,,0.15,0.09,2007-06-05,
/games/boxart/full_1001-touch-games_530AmericaFront.jpg,1001 Touch Games,DS,Action,Unknown,Avanquest Software,,,,,0.31,0.11,,0.17,0.03,2011-10-18,
/games/boxart/full_9790436AmericaFrontccc.jpg,Harry Potter and the Half-Blood Prince,X360,Action,Electronic Arts,Bright Light Productions,,,,,0.31,0.17,,0.11,0.03,2009-06-30,
/games/boxart/8085292ccc.jpg,Manhunt 2,PSP,Action,Rockstar Games,Rockstar London,,,,,0.31,0.04,,0.18,0.1,2007-10-29,
/games/boxart/full_3261017AmericaFrontccc.jpg,The Matrix: Path of Neo,XB,Action,Atari,Shiny Entertainment,,6.7,,,0.31,0.23,,0.07,0.01,2005-11-07,
/games/boxart/full_9264259AmericaFrontccc.jpg,Mortal Kombat: Shaolin Monks,XB,Action,Midway Games,Midway Studios Los Angeles,,,,,0.31,0.23,,0.07,0.01,2005-09-16,
/games/boxart/full_clash-of-the-titans-the-videogame_8AmericaFront.jpg,Clash of the Titans: The Videogame,PS3,Action,Namco Bandai,Game Republic,,,,,0.31,0.09,0.01,0.15,0.05,2010-07-27,
